FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1006419,10136949,D,1/14/91 18:18,,,
1006420,9981531,D,3/29/91 5:30,,,
1006421,10055287,D,3/27/91 18:30,,,
1006422,10055334,D,3/27/91 20:52,,,
1006423,10055338,D,3/27/91 21:00,,,
1006424,10118694,D,3/22/91 16:35,,,
1006425,10118701,D,3/22/91 18:05,,,
1006426,10030616,D,3/22/91 18:01,,,
1006427,10016910,D,3/27/91 19:20,,,
1006428,10016917,D,3/27/91 19:35,,,
1006429,10161610,D,3/27/91 14:05,,,
1006430,10034564,D,4/26/91 16:57,,,
1006431,10034568,D,4/26/91 17:30,,,
1006432,10034571,D,4/26/91 17:40,,,
1006433,10034579,D,4/26/91 18:26,,,
1006434,10046892,D,4/28/91 16:45,,,
1006435,10044623,D,4/12/91 6:00,,,
1006436,10048286,D,4/26/91 12:35,,,
1006437,10102353,D,4/26/91 19:10,,,
1006438,10102359,D,4/26/91 20:05,,,
1006439,10000203,D,4/10/91 9:00,,,
1006440,10001053,D,4/21/91 7:00,,,
1006441,10147583,D,4/9/91 15:47,,,
1006442,10147589,D,4/9/91 16:18,,,
1006443,10052012,D,5/31/91 18:20,,,
1006444,10075313,D,5/1/91 15:45,,,
1006445,10034626,D,5/26/91 12:50,,,
1006446,10115323,D,5/6/91 13:15,,,
1006447,10096762,D,5/30/91 18:30,,,
1006448,10112323,D,5/5/91 19:35,,,
1006449,10004771,D,5/5/91 17:15,,,
1006450,10005878,D,5/31/91 16:00,,,
1006451,10027528,D,5/17/91 14:20,,,
1006452,10162763,D,5/28/91 22:30,,,
1006453,10080764,D,6/12/91 14:10,,,
1006454,10080768,D,6/12/91 14:50,,,
1006455,10112336,D,6/1/91 14:15,,,
1006456,10050642,D,7/5/91 18:35,,,
1006457,10025321,D,7/7/91 10:38,,,
1006458,10082576,D,8/18/91 14:35,,,
1006459,10029585,D,8/8/91 15:06,,,
1006460,10071109,D,11/29/91 18:09,,,
